skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Concentration	113	pal	concentration		65																73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	par5																																																																															1	1	6		none														xx																									(skill('Concentration'.blvl) < 100) ? (skill('Concentration'.blvl)/50+1) : ((skill('Concentration'.blvl)-50)/25+1)	75	250					Blessed Aim														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	30	% additional damage	8	$ additional damage/level	50	percent chance that attack will not be interrupted	0	?					1								8																																				160	2000
Holy Freeze	114	pal	holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	"0-min(par4,par3+lvl/3)"	attackrate	"0-min(par4,par3+lvl/3)"	other_animrate	"0-min(par4,par3+lvl/3)"																	coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																										1	8		none														xx																									(skill('Holy Freeze'.blvl) < 100) ? (skill('Holy Freeze'.blvl)/50+1) : ((skill('Holy Freeze'.blvl)-50)/25+1)	80	250					Holy Fire														0	8	0	0	1	1	1		25														15	radius	0	additional radius per level	10	min% slowing	75	max% slowing	4	damage to attack multiplier	0	?			50	damage synergy	1				16385				8															cold	12	3	6	9	13	18	24	3	6	9	13	18	(skill('Resist Cold'.blvl) + skill('Salvation'.blvl)) * par8 / 250								160	2000
Vigor	115	pal	vigor		65																73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56																																																																													1	1	1		none														xx																									(skill('Vigor'.blvl) < 100) ? (skill('Vigor'.blvl)/50+1) : ((skill('Vigor'.blvl)-50)/25+1)	70	250					Cleansing	Defiance													0	8	0	0	1	1	1		25														25	radius	0	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				160	2000
Conversion	116	pal	conversion	32	79																		conversion	ln12																																																								1																													1	0		h2h		mele										A1	A1	xx				1		1	1								1										(skill('Conversion'.blvl) < 100) ? (skill('Conversion'.blvl)/50+1) : ((skill('Conversion'.blvl)-50)/25+1)	90	250					Vengeance								1						1	8	8	0	1										"min(par4,par3+skill('Conversion'.blvl))"	chance to convert							400	duration of conversion (frames)	20	additional frames/level	10	min % chance convert	80	max % chance convert	0	?	0	?					1								8	128																																			192	4000
Holy Shield	117	pal	holy shield	36	18																	holyshield		ln12		toblock	"min(par6, par5 + lvl / 2)"	armorclass	ln34 + skill('Defiance'.blvl) * par8 /250																																																paladin_holyshield																																1	3		none		shld										SC	SC	xx															1										(skill('Holy Shield'.blvl) < 100) ? (skill('Holy Shield'.blvl)/50+1) : ((skill('Holy Shield'.blvl)-50)/25+1)	100	250					Charge	Blessed Hammer													1	8	40	0	1	1									ln34+skill('Defiance'.blvl)*par8	ac bonus to shield							750	duration of shield	250	duration/level	15	AC bonus	15	AC bonus per level	5	min % ToBlock Add	40	max % ToBlockAdd			5	armor synergy	1								8		3	2	3	4	5	6	6	2	3	4	5	6	stat(0.accr) / 4																						192	4000
Holy Shock	118	pal	holy shock		66																42883	holyshock			ln12																							lightmindam	enms*par5/256	lightmaxdam	exms*par5/256																																																										1	4		none														xx																									(skill('Holy Shock'.blvl) < 100) ? (skill('Holy Shock'.blvl)/50+1) : ((skill('Holy Shock'.blvl)-50)/25+1)	100	250					Holy Freeze														0	8	0	0	1	1	1		25														15	radius	0	additional radius per level					5	damage to attack multiplier	0	?			50	damage synergy	1				16385				8															ltng	10	5	10	15	20	25	100	10	20	30	40	50	(skill('Resist Lightning'.blvl) + skill('Salvation'.blvl)) * par8 / 250								192	4000
Sanctuary	119	pal	sanctuary		66																59270	sanctuary			ln12	item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																																																									cast_undead									sanctuarybolt												1	0		none														xx																									(skill('Sanctuary'.blvl) < 100) ? (skill('Sanctuary'.blvl)/50+1) : ((skill('Sanctuary'.blvl)-50)/25+1)	90	250					Thorns	Holy Freeze													1	8	4	0	1	1	1		25														15	radius	0	additional radius per level	100	% damage to undead	10	% damage per level	100	att vs. undead	50	att vs. undead per level			100	damage synergy	1				11		157		8															mag	12	12	24	36	48	60	24	16	32	48	64	80	skill('Cleansing'.blvl) * par8 / 250 + stat(357.accr)								192	4000
Meditation	120	pal	meditation		65																73729	meditation	meditation		ln12	manarecoverybonus	ln34	hitpoints	skill('Prayer'.edns)																																																																																1	7		none														xx																									(skill('Meditation'.blvl) < 100) ? (skill('Meditation'.blvl)/50+1) : ((skill('Meditation'.blvl)-50)/25+1)	95	250					Cleansing														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	300	% boost to mana recovery	25	% additional boost/level	0	?	0	?					1								8																																				192	4000
Fist of the Heavens	121	pal	fist of the heavens		80												fistoftheheavensdelay			handofgod	42375				20																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			4					(skill('Fist of the Heavens'.blvl) < 100) ? (skill('Fist of the Heavens'.blvl)/50+1) : ((skill('Fist of the Heavens'.blvl)-50)/25+1)	120	250					Blessed Hammer	Conversion						15	1						1	8	30	0	1										ln34	min heal	ln56	max heal			"min(25,ln12)"	# bolts	8	holy bolts to release	1	holy bolts per level	100	min hitpoints healed	50	hitpoints healed per level	500	max hitpoints healed	50	hitpoints healed per level			50	damage synergy	1								8															ltng	200	20	40	60	80	100	300	20	40	60	80	100	skill('Holy Shock'.blvl) * par8 / 250								224	8000
Fanaticism	122	pal	fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	"min(par4, par3 + lvl)"	item_tohit_percent	toht	damagepercent	ln56/2																	damagepercent	ln56																																																											1	1	8		none														S1																									(skill('Fanaticism'.blvl) < 100) ? (skill('Fanaticism'.blvl)/50+1) : ((skill('Fanaticism'.blvl)-50)/25+1)	115	250					Concentration														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	5	min% boost	100	max% boost	50	% damage boost	10	% damage bonus per level					1	40	5						8																																				224	8000
Conviction	123	pal	conviction		66																42371	conviction	conviction		ln12	skill_armor_percent	"0-min(par8,ln56)"	fireresist	"0-min(par7,ln34)"	coldresist	"0-min(par7,ln34)"	lightresist	"0-min(par7,ln34)"																																																																												1	6		none		mele												xx	5		1																						(skill('Conviction'.blvl) < 100) ? (skill('Conviction'.blvl)/50+1) : ((skill('Conviction'.blvl)-50)/25+1)	110	250					Sanctuary														0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	10	% resist reduction	1	% resist reduction per level	10	min % AC reduction	1	% AC reduction per level	150	max % resist reduction	100	max % AC reduction	1								8																																				224	8000
Redemption	124	pal	redemption		82																4354	redemption			ln12																																																																								redemption												1	0		none														xx																									(skill('Redemption'.blvl) < 100) ? (skill('Redemption'.blvl)/50+1) : ((skill('Redemption'.blvl)-50)/25+1)	120	250					Vigor														0	8	0	0	1	1	1		25						"min(100,ln34)"	chance to redeem	ln56	hp gain	ln56	mana gain			20	radius	0	additional radius per level	10	chance redeem	1	chance redeem per level	30	HP and mana gained	30	HP and mana gained/level					1								8																																				224	8000
Salvation	125	pal	salvation		65																73731	resistall	resistall		ln12	fireresist	ln34	coldresist	ln34	lightresist	ln34																																																																													1	1	8		none														xx																									(skill('Salvation'.blvl) < 100) ? (skill('Salvation'.blvl)/50+1) : ((skill('Salvation'.blvl)-50)/25+1)	110	250																			0	8	0	0	1	1	1		25														20	radius	0	additional radius per level	15	min % resist	2	resist per level									1								8																																				224	8000
Bash	126	bar	bash	32	2																																																																									barbarian_grunt_small_1	1																														1	7		h2h		mele										A1	A1	xx				1		1	1								1										(skill('Bash'.blvl) < 100) ? (skill('Bash'.blvl)/50+1) : ((skill('Bash'.blvl)-50)/25+1)	10	250													1						1	8	2	0	1										ln12+skill('Stun'.blvl)*par8	damage%	ln34	post dmg add		attack rate bonus			50	Damage % base	5	Damage % per level	4	Min Damage	4	Min Damager per level					5	to hit synergy	125	damage synergy	1	20	10	10 + lvl*10 + skill('Concentrate'.blvl) * par7					8	128																																			64	125
Sword Mastery	127	bar	sword mastery																																											swordmastery	swor	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Sword Mastery'.blvl) < 100) ? (skill('Sword Mastery'.blvl)/50+1) : ((skill('Sword Mastery'.blvl)-50)/25+1)	20	250																			0	8	0	0	1		1				1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				64	125
Axe Mastery	128	bar	axe mastery																																											axemastery	axe	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Axe Mastery'.blvl) < 100) ? (skill('Axe Mastery'.blvl)/50+1) : ((skill('Axe Mastery'.blvl)-50)/25+1)	20	250																			0	8	0	0	1		1				1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				64	125
Mace Mastery	129	bar	mace mastery																																											macemastery	blun	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Mace Mastery'.blvl) < 100) ? (skill('Mace Mastery'.blvl)/50+1) : ((skill('Mace Mastery'.blvl)-50)/25+1)	20	250																			0	8	0	0	1		1				1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				64	125
Howl	130	bar	howl		22												howl						terror																																																							barbarian_howl_1														25					howl				par1 * (lvl-1)	velocity adder							1	0		none												SC	SC	xx				1																					(skill('Howl'.blvl) < 100) ? (skill('Howl'.blvl)/50+1) : ((skill('Howl'.blvl)-50)/25+1)	15	250																			1	8	4	0	1										par1 * (lvl-1)	velocity adder							2	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	1	Distance per level	150	Time to retreat	5	Time per level					1								8																																				64	125
Find Potion	131	bar	find potion	33	69																																																																							1		barbarian_findobject_1							barbarian_findheart_1						26	38																	1	0		h2h												SC	SC	xx				1				1		4	1														(skill('Find Potion'.blvl) < 100) ? (skill('Find Potion'.blvl)/50+1) : ((skill('Find Potion'.blvl)-50)/25+1)	5	250																			1	8	2	0	1										"min(par5,ln12)"	chance							20	chance	1	chance per level	30	Chance of finding a mana potion	10	Chance of finding rejuv	75	max chance							1								8																																				64	375
Leap	132	bar	leap	40	77												leapknockback								"min(par5, ln12)"																																																			1		barbarian_leap_1													29	43																	1	0		none												SQ	A1	xx	13		1																						(skill('Leap'.blvl) < 100) ? (skill('Leap'.blvl)/50+1) : ((skill('Leap'.blvl)-50)/25+1)	25	250													1						1	8	2	0	1										ln34	knockback radius							4	min distance	1	distance per level	10	Knockback range	0	knockback range per level	30	max distance							1								8																																				96	375
Double Swing	133	bar	double swing		70																																																																											1											27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1										(skill('Double Swing'.blvl) < 100) ? (skill('Double Swing'.blvl)/50+1) : ((skill('Double Swing'.blvl)-50)/25+1)	40	250					Bash								1						0	8	2	0	1										skill('Bash'.blvl) * par8 / 250	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus							50	Attack rate bonus					50	damage synergy	1	20	10						8	128																																			96	375
Pole Arm Mastery	134	bar	pole arm mastery																																											polearmmastery	pole	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Pole Arm Mastery'.blvl) < 100) ? (skill('Pole Arm Mastery'.blvl)/50+1) : ((skill('Pole Arm Mastery'.blvl)-50)/25+1)	30	250																			0	8	0	0	1						1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				96	375
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro	passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Throwing Mastery'.blvl) < 100) ? (skill('Throwing Mastery'.blvl)/50+1) : ((skill('Throwing Mastery'.blvl)-50)/25+1)	35	250																			0	8	0	0	1						1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				96	375
Spear Mastery	136	bar	spear mastery																																											spearmastery	spea	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none												SC	SC	xx				1																					(skill('Spear Mastery'.blvl) < 100) ? (skill('Spear Mastery'.blvl)/50+1) : ((skill('Spear Mastery'.blvl)-50)/25+1)	25	250																			0	8	0	0	1						1												20	Attack % base	5	Attack % per level	15	Damage % base	3	damage % per level	0	critical%	25	critical%					1								8																																				96	375
Taunt	137	bar	taunt		71																34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																	barbarian_taunt_1																															1	0		none												SC	SC	S1				1				1																	(skill('Taunt'.blvl) < 100) ? (skill('Taunt'.blvl)/50+1) : ((skill('Taunt'.blvl)-50)/25+1)	30	250					Howl														1	8	3	0	1																		-5	% to hit for target	-1	% to hit/level	-5	% damage for target	-1	% damage/level									1								8																																				96	375
